"stm32f303k6tx","stm32f303k6"
"stm32f303k6ux","stm32f303k6"
"stm32f303k8tx","stm32f303k8"
"stm32f303k8ux","stm32f303k8"
"stm32f303r6tx","stm32f303r6"
"stm32f303r8tx","stm32f303r8"
"stm32f303rbtx","stm32f303rb"
"stm32f303rctx","stm32f303rc"
"stm32f303rdtx","stm32f303rd"
"stm32f303retx","stm32f303re"
"stm32f303vbtx","stm32f303vb"
"stm32f303vctx","stm32f303vc"
"stm32f303vcyx","stm32f303vc"
"stm32f303vdhx","stm32f303vd"
"stm32f303vdtx","stm32f303vd"
"stm32f303vehx","stm32f303ve"
"stm32f303vetx","stm32f303ve"
"stm32f303veyx","stm32f303ve"
"stm32f303zdtx","stm32f303zd"
"stm32f303zetx","stm32f303ze"
"stm32f318c8tx","stm32f318c8"
"stm32f318c8yx","stm32f318c8"
"stm32f318k8ux","stm32f318k8"
"stm32f328c8tx","stm32f328c8"
"stm32f334c4tx","stm32f334c4"
"stm32f334c6tx","stm32f334c6"
"stm32f334c8tx","stm32f334c8"
"stm32f334c8yx","stm32f334c8"
"stm32f334k4tx","stm32f334k4"
"stm32f334k4ux","stm32f334k4"
"stm32f334k6tx","stm32f334k6"
"stm32f334k6ux","stm32f334k6"
"stm32f334k8tx","stm32f334k8"
"stm32f334k8ux","stm32f334k8"
"stm32f334r6tx","stm32f334r6"
"stm32f334r8tx","stm32f334r8"
"stm32f358cctx","stm32f358cc"
"stm32f358rctx","stm32f358rc"
"stm32f358vctx","stm32f358vc"
"stm32f373c8tx","stm32f373c8"
"stm32f373cbtx","stm32f373cb"
"stm32f373cctx","stm32f373cc"
"stm32f373r8tx","stm32f373r8"
"stm32f373rbtx","stm32f373rb"
"stm32f373rctx","stm32f373rc"
"stm32f373v8hx","stm32f373v8"
"stm32f373v8tx","stm32f373v8"
"stm32f373vbhx","stm32f373vb"
"stm32f373vbtx","stm32f373vb"
"stm32f373vchx","stm32f373vc"
"stm32f373vctx","stm32f373vc"
"stm32f378cctx","stm32f378cc"
"stm32f378rctx","stm32f378rc"
"stm32f378rcyx","stm32f378rc"
"stm32f378vchx","stm32f378vc"
"stm32f378vctx","stm32f378vc"
"stm32f398vetx","stm32f398ve"
"stm32f401cbux","stm32f401cb"
"stm32f401cbyx","stm32f401cb"
"stm32f401ccux","stm32f401cc"
"stm32f401ccyx","stm32f401cc"
"stm32f401ccfx","stm32f401cc"
"stm32f401cdux","stm32f401cd"
"stm32f401cdyx","stm32f401cd"
"stm32f401ceux","stm32f401ce"
"stm32f401ceyx","stm32f401ce"
"stm32f401rbtx","stm32f401rb"
"stm32f401rctx","stm32f401rc"
"stm32f401rdtx","stm32f401rd"
"stm32f401retx","stm32f401re"
"stm32f401vbhx","stm32f401vb"
"stm32f401vbtx","stm32f401vb"
"stm32f401vchx","stm32f401vc"
"stm32f401vctx","stm32f401vc"
"stm32f401vdhx","stm32f401vd"
"stm32f401vdtx","stm32f401vd"
"stm32f401vehx","stm32f401ve"
"stm32f401vetx","stm32f401ve"
"stm32f405oeyx","stm32f405oe"
"stm32f405ogyx","stm32f405og"
"stm32f405rgtx","stm32f405rg"
"stm32f405vgtx","stm32f405vg"
"stm32f405zgtx","stm32f405zg"
"stm32f407iehx","stm32f407ie"
"stm32f407ietx","stm32f407ie"
"stm32f407ighx","stm32f407ig"
"stm32f407igtx","stm32f407ig"
"stm32f407vetx","stm32f407ve"
"stm32f407vgtx","stm32f407vg"
"stm32f407zetx","stm32f407ze"
"stm32f407zgtx","stm32f407zg"
"stm32f410c8tx","stm32f410c8"
"stm32f410c8ux","stm32f410c8"
"stm32f410cbtx","stm32f410cb"
"stm32f410cbux","stm32f410cb"
"stm32f410r8ix","stm32f410r8"
"stm32f410r8tx","stm32f410r8"
"stm32f410rbix","stm32f410rb"
"stm32f410rbtx","stm32f410rb"
"stm32f410t8yx","stm32f410t8"
"stm32f410tbyx","stm32f410tb"
"stm32f411ccux","stm32f411cc"
"stm32f411ccyx","stm32f411cc"
"stm32f411ceux","stm32f411ce"
"stm32f411ceyx","stm32f411ce"
"stm32f411rctx","stm32f411rc"
"stm32f411retx","stm32f411re"
"stm32f411vchx","stm32f411vc"
"stm32f411vctx","stm32f411vc"
"stm32f411vehx","stm32f411ve"
"stm32f411vetx","stm32f411ve"
"stm32f412ceux","stm32f412ce"
"stm32f412cgux","stm32f412cg"
"stm32f412retx","stm32f412re"
"stm32f412reyx","stm32f412re"
"stm32f412reyxp","stm32f412re"
"stm32f412rgtx","stm32f412rg"
"stm32f412rgyx","stm32f412rg"
"stm32f412rgyxp","stm32f412rg"
"stm32f412vehx","stm32f412ve"
"stm32f412vetx","stm32f412ve"
"stm32f412vghx","stm32f412vg"
"stm32f412vgtx","stm32f412vg"
"stm32f412zejx","stm32f412ze"
"stm32f412zetx","stm32f412ze"
"stm32f412zgjx","stm32f412zg"
